plot,logger,serial,start,end,pu1_P_RT_NRT,pu2_1,pu2_2,wxt_SWDR_300,wxt_SWUR_300,wxt_LWDR_300,wxt_LWUR_300,SERIAL_PYR01,SERIAL_PYR02,SERIAL_PAR01,SERIAL_PAR02,pu2_1_type,pu2_2_type
fer3,rug,51071120481,*,*,,,,,,,,,,,,,
fer4,rug,51021020183,2012-07-26,2014-07-16,,,,,,,,,,,,,
fer4,rug,80011521133,2015-05-27,*,,,,,,,,,,,,,
fer5,rug,51081020287,2012-01-10,2012-05-05,,,,,,,,,,,,,
flm1,pu1,80081025287,2012-10-05,2014-03-15,0.2,,,,,,,,,,,,
flm1,pu1,80081025289,2012-10-05,2014-03-15,0.2,,,,,,,,,,,,
flm1,rug,51021020150,*,*,,,,,,,,,,,,,
flm1,rug,80121421092,2015-03-20,*,,,,,,,,,,,,,
flm1,tfi,3,2012-01-01,*,0.0198915706,0.0198915706,0.001,,,,,,,,,,
flm2,rug,51021020184,2012-05-02,*,,,,,,,,,,,,,
flm3,rug,51021020195,2011-02-24,2011-03-20,,,,,,,,,,,,,
flm3,rug,51021020198,2011-03-21,2011-08-28,,,,,,,,,,,,,
flm3,rug,51071120472,2011-08-27,2013-03-13,,,,,,,,,,,,,
flm3,rug,51071138,2012-09-12,2012-09-26,,,,,,,,,,,,,
flm3,rug,80011521132,2015-04-22,*,,,,,,,,,,,,,
flm4,rug,51021020208,*,*,,,,,,,,,,,,,
flm4,rug,51021056,2012-09-12,2012-09-26,,,,,,,,,,,,,
flm5,rug,51021020195,2011-03-21,2011-07-10,,,,,,,,,,,,,
flm6,rug,51021020224,2011-03-21,2012-09-19,,,,,,,,,,,,,
flm6,rug,51021020181,2012-09-20,2015-04-08,,,,,,,,,,,,,
flm6,rug,80121421097,2015-04-09,*,,,,,,,,,,,,,
foc0,gp1,80091225859,2013-01-01,*,,0.9,35,,,,,,,,,,
foc0,pu2,80081025291,2012-04-03,*,,0.2,0.199,,,,,,,,,rain,fog
foc0,tfi,5,2012-01-01,*,0.0198915706,0.0198915706,0.001,,,,,,,,,,
foc1,rug,51021020219,*,*,,,,,,,,,,,,,
foc1,rug,80121421096,2015-03-19,*,,,,,,,,,,,,,
foc2,rug,51021020191,*,*,,,,,,,,,,,,,
foc3,rug,51081020286,*,2015-05-28,,,,,,,,,,,,,
foc4,rug,51021020231,*,*,,,,,,,,,,,,,
foc5,rug,51071120458,*,*,,,,,,,,,,,,,
foc5,rug,80021521153,2015-06-03,*,,,,,,,,,,,,,
foc6,pu2,80081025296,2012-10-17,*,,0.2,0.2,,,,,,,,,fog,rain
foc6,pu2,80081025298,2012-10-17,2014-01-17,,0.2,0.2,,,,,,,,,tf,tf
foc6,pu2,80101326135,2014-01-17,*,,0.2,0.2,,,,,,,,,tf,tf
