station,general,logger,lat,lon
Mannheim,SASSCAL_namibia,SASSCAL_logger,-19.16861111,17.76305556
Marble Koppie,SASSCAL_namibia,SASSCAL_logger,-22.96948104,14.98967998
Marienflusstal,SASSCAL_namibia,SASSCAL_logger,-17.602974,12.602886
Mashare,SASSCAL_namibia,SASSCAL_logger,-17.8946,20.2085
Narais - Duruchaus,SASSCAL_namibia,SASSCAL_logger,-23.1301,16.8849
Okahandja Nation. Forestry Research Centre (NFRC),SASSCAL_namibia,SASSCAL_logger,-22.00563889,16.91797222
Ngoma,SASSCAL_namibia,SASSCAL_logger,-17.8995,24.707944
Nico,SASSCAL_namibia,SASSCAL_logger,-25.31275,17.834583
Ogongo,SASSCAL_namibia,SASSCAL_logger,-17.678528,15.294806
Okamboro,SASSCAL_namibia,SASSCAL_logger,-22.009494,17.041386
Okangwati,SASSCAL_namibia,SASSCAL_logger,-17.43025,13.2781
Okapya,SASSCAL_namibia,SASSCAL_logger,-18.4725,17.33908333
Okashana,SASSCAL_namibia,SASSCAL_logger,-18.41111111,16.63852778
Okomumbonde,SASSCAL_namibia,SASSCAL_logger,-20.48327,17.343167
Omatako Ranch,SASSCAL_namibia,SASSCAL_logger,-21.5094,16.7291
Omatjenne,SASSCAL_namibia,SASSCAL_logger,-20.44277778,16.49333333
Oshaambelo,SASSCAL_namibia,SASSCAL_logger,-17.84286111,14.77008333
Rooisand,SASSCAL_namibia,SASSCAL_logger,-23.294528,16.114667
Sachinga,SASSCAL_namibia,SASSCAL_logger,-17.673667,24.031889
Sandveld,SASSCAL_namibia,SASSCAL_logger,-22.0445,19.1321
Sonop Research Station,SASSCAL_namibia,SASSCAL_logger,-19.0101,18.9039
Sophies Hoogte,SASSCAL_namibia,SASSCAL_logger,-23.00681496,14.89086597
Station 8,SASSCAL_namibia,SASSCAL_logger,-23.26530003,15.05627202
Tsumis,SASSCAL_namibia,SASSCAL_logger,-23.72977778,17.19386111
Tsumkwe Breeding Station,SASSCAL_namibia,SASSCAL_logger,-19.6156,20.442
Vogelfederberg,SASSCAL_namibia,SASSCAL_logger,-23.097969,15.02903201
Waterberg,SASSCAL_namibia,SASSCAL_logger,-20.3971,17.3529
Windhoek (NBRI),SASSCAL_namibia,SASSCAL_logger,-22.5707,17.0957
Windhoek (Satellite),SASSCAL_namibia,SASSCAL_logger,-22.57238,17.094806
Wlotzkasbaken,SASSCAL_namibia,SASSCAL_logger,-22.3149,14.4621
Alexanderbay Lichen Field,SASSCAL_south_africa,SASSCAL_logger,-28.62496,16.50674
Alpha,SASSCAL_south_africa,SASSCAL_logger,-26.76178,20.62504
Eksteenfontein,SASSCAL_south_africa,SASSCAL_logger,-28.83653,17.29039
Koeroegabvlakte,SASSCAL_south_africa,SASSCAL_logger,-28.2359,17.02557
Numees,SASSCAL_south_africa,SASSCAL_logger,-28.314259,16.965849
Paulshoek,SASSCAL_south_africa,SASSCAL_logger,-30.395,18.28118
Ratelgat,SASSCAL_south_africa,SASSCAL_logger,-31.28616,18.60281
Soebatsfontein,SASSCAL_south_africa,SASSCAL_logger,-30.18294,17.55062
Vandersterrberg,SASSCAL_south_africa,SASSCAL_logger,-28.47126,17.11159
Verlorenvlei,SASSCAL_south_africa,SASSCAL_logger,-32.5981,18.68285
Yellow Dune,SASSCAL_south_africa,SASSCAL_logger,-28.611053,16.654364
Chadiza,SASSCAL_zambia,SASSCAL_logger,-14.06,32.432
Copperbelt University,SASSCAL_zambia,SASSCAL_logger,-12.8061,28.2374
Dongwe,SASSCAL_zambia,SASSCAL_logger,-14.012591,24.021878
Kabwe Mulungushi,SASSCAL_zambia,SASSCAL_logger,-14.29257,28.56632
Kafue National Park-Tatayoyo,SASSCAL_zambia,SASSCAL_logger,-14.90153,24.432
Kalabo,SASSCAL_zambia,SASSCAL_logger,-14.98895,22.68175
Kalomo,SASSCAL_zambia,SASSCAL_logger,-16.96,26.475
Kasempa,SASSCAL_zambia,SASSCAL_logger,-13.45696,25.8337
Luampa,SASSCAL_zambia,SASSCAL_logger,-15.142329,24.49237
Lusaka Int. Airport,SASSCAL_zambia,SASSCAL_logger,-15.31929,28.4405
Lusaka University of Zambia,SASSCAL_zambia,SASSCAL_logger,-15.39117,28.33204
Mpulungu,SASSCAL_zambia,SASSCAL_logger,-8.773,31.117
Mwinilunga,SASSCAL_zambia,SASSCAL_logger,-11.73998,24.431
Namwala,SASSCAL_zambia,SASSCAL_logger,-15.75,26.433
Nangweshi,SASSCAL_zambia,SASSCAL_logger,-16.24592,23.23711
Samfya,SASSCAL_zambia,SASSCAL_logger,-11.37119,29.56057
Serenje,SASSCAL_zambia,SASSCAL_logger,-13.2267,30.21508
Sesheke,SASSCAL_zambia,SASSCAL_logger,-17.4711,24.3013
Zambezi,SASSCAL_zambia,SASSCAL_logger,-13.53365,23.1079
