plot,general,lat,lon,is_station,logger
THABAZIMBI,SAWS,-24.5829,27.417,Y,SAWS_logger
THABINA DAM ARS,SAWS,-24.0267,30.1764,Y,SAWS_logger
THOHOYANDOU WO,SAWS,-23.0872,30.3844,Y,SAWS_logger
TOM BURKE S.A.P.S. ARS,SAWS,-23.0694,27.9994,Y,SAWS_logger
TOURS DAM ARS,SAWS,-24.0986,30.2586,Y,SAWS_logger
TSHANOWA PRIMARY SCHOOL,SAWS,-22.9353,30.3667,Y,SAWS_logger
TSHIVHASIE TEA VENDA,SAWS,-22.97,30.35,Y,SAWS_logger
TSITSIKAMMA,SAWS,-34.0229,23.8986,Y,SAWS_logger
TUGELA FERRY ARS,SAWS,-28.7464,30.445,Y,SAWS_logger
TULBAGH - OBIQUA  ARS,SAWS,-33.275,19.146,Y,SAWS_logger
TYGERHOEK,SAWS,-34.1497,19.9031,Y,SAWS_logger
TZANEEN - MIDDLE LETABA DAM ARS,SAWS,-23.2831,30.4147,Y,SAWS_logger
TZANEEN DAM ARS,SAWS,-23.7969,30.1681,Y,SAWS_logger
TZANEEN-WESTFALIA ESTATE,SAWS,-23.7389,30.1211,Y,SAWS_logger
Technical Service ARS Test,SAWS,-25.91,28.2111,Y,SAWS_logger
Tsabong,SASSCAL_botswana,-26.031361,22.400861,Y,SASSCAL_logger
Tshane,SASSCAL_botswana,-24.019278,21.868556,Y,SASSCAL_logger
Tsumis,SASSCAL_namibia,-23.72977778,17.19386111,Y,SASSCAL_logger
Tsumkwe Breeding Station,SASSCAL_namibia,-19.6156,20.442,Y,SASSCAL_logger
Tubu (Okavango Delta),SASSCAL_botswana,-19.35786,22.284,Y,SASSCAL_logger
Tundavala,SASSCAL_angola,-14.845,13.407,Y,SASSCAL_logger
UITENHAGE,SAWS,-33.7142,25.435,Y,SAWS_logger
ULUNDI,SAWS,-28.3,31.42,Y,SAWS_logger
ULUNDI WASTE WATER ARS,SAWS,-28.3475,31.4239,Y,SAWS_logger
UMTHATHA WO,SAWS,-31.5497,28.6739,Y,SAWS_logger
UNIVERSITY OF ZULULAND,SAWS,-28.8517,31.8531,Y,SAWS_logger
VAALHOEK,SAWS,-24.733,30.783,Y,SAWS_logger
VAN DER KLOOF DAM ARS,SAWS,-29.9971,24.7187,Y,SAWS_logger
VAN REENEN,SAWS,-28.3789,29.3853,Y,SAWS_logger
VANDYKSDRIFT - DOUGLAS COLLIERY ARS,SAWS,-26.1,29.317,Y,SAWS_logger
VENETIA MINE,SAWS,-22.4517,29.3314,Y,SAWS_logger
VENTERSRUST ARS,SAWS,-25.9886,24.0869,Y,SAWS_logger
VEREENIGING,SAWS,-26.567,27.95,Y,SAWS_logger
VILLIERSDORP-SOS ARS,SAWS,-34.017,19.226,Y,SAWS_logger
VIOOLSDRIF - AWS,SAWS,-28.7694,17.6234,Y,SAWS_logger
VIRGINIA,SAWS,-29.767,31.05,Y,SAWS_logger
VREDE,SAWS,-27.4228,29.1694,Y,SAWS_logger
VREDENDAL,SAWS,-31.673,18.496,Y,SAWS_logger
VRYBURG,SAWS,-26.9547,24.6527,Y,SAWS_logger
VRYHEID,SAWS,-27.7772,30.7961,Y,SAWS_logger
Vandersterrberg,SASSCAL_south_africa,-28.47126,17.11159,Y,SASSCAL_logger
Verlorenvlei,SASSCAL_south_africa,-32.5981,18.68285,Y,SASSCAL_logger
Vogelfederberg,SASSCAL_namibia,-23.097969,15.02903201,Y,SASSCAL_logger
WARDEN - HERITAGE,SAWS,-27.9611,29.0594,Y,SAWS_logger
WARMBAD TOWOOMBA,SAWS,-24.9,28.33,Y,SAWS_logger
WATERKLOOF AIR FORCE BASE,SAWS,-25.8278,28.2236,Y,SAWS_logger
WELKOM,SAWS,-27.9947,26.6658,Y,SAWS_logger
WELLINGTON,SAWS,-33.6511,19.0067,Y,SAWS_logger
WEPENER,SAWS,-29.9156,26.8469,Y,SAWS_logger
WESTONARIA KLOOF GOLD MINE ARS,SAWS,-26.4,27.6,Y,SAWS_logger
WILLOWMORE,SAWS,-33.3003,23.4839,Y,SAWS_logger
WITBANK,SAWS,-25.8369,29.1887,Y,SAWS_logger
WITSIESHOEK ARS,SAWS,-28.534,28.796,Y,SAWS_logger
WOLMARANSSTAD,SAWS,-27.2139,25.9783,Y,SAWS_logger
WONDERBOOM AIRPORT,SAWS,-25.6561,28.2169,Y,SAWS_logger
WORCESTER-AWS,SAWS,-33.6639,19.4186,Y,SAWS_logger
Waterberg,SASSCAL_namibia,-20.3971,17.3529,Y,SASSCAL_logger
Werda,SASSCAL_botswana,-25.268,23.259194,Y,SASSCAL_logger
Windhoek (NBRI),SASSCAL_namibia,-22.5707,17.0957,Y,SASSCAL_logger
Windhoek (Satellite),SASSCAL_namibia,-22.57238,17.094806,Y,SASSCAL_logger
Wlotzkasbaken,SASSCAL_namibia,-22.3149,14.4621,Y,SASSCAL_logger
Xade,SASSCAL_botswana,-22.34072,23.02983,Y,SASSCAL_logger
Yellow Dune - Grootderm,SASSCAL,,,Y,SASSCAL_logger
ZUURBEKOM ARS,SAWS,-26.3003,27.8025,Y,SAWS_logger
Zambezi,SASSCAL_zambia,-13.53365,23.1079,Y,SASSCAL_logger
