plotID,datetime,Ta_200
rec123,2010-01-01T00,NA
rec123,2010-01-01T01,-2.61000
rec123,2010-01-01T02,-2.86000
rec123,2010-01-01T03,-3.14000
rec123,2010-01-01T04,-3.36000
rec123,2010-01-01T05,-3.57000
rec123,2010-01-01T06,-3.73000
rec123,2010-01-01T07,-3.74000
rec123,2010-01-01T08,-3.77000
rec123,2010-01-01T09,-3.76000
rec123,2010-01-01T10,-3.58000
rec123,2010-01-01T11,-3.41000
rec123,2010-01-01T12,-3.23000
rec123,2010-01-01T13,-3.03000
rec123,2010-01-01T14,-3.09000
rec123,2010-01-01T15,-3.36000
rec123,2010-01-01T16,-3.39000
rec123,2010-01-01T17,-3.59000
rec123,2010-01-01T18,-3.65000
rec123,2010-01-01T19,-3.75000
rec123,2010-01-01T20,-3.78000
rec123,2010-01-01T21,-3.77000
rec123,2010-01-01T22,-3.67000
rec123,2010-01-01T23,-3.63000
rec123,2010-01-02T00,-3.67000
rec123,2010-01-02T01,-3.68000
rec123,2010-01-02T02,-3.85000
rec123,2010-01-02T03,-3.93000
rec123,2010-01-02T04,-3.89000
rec123,2010-01-02T05,-3.75000
rec123,2010-01-02T06,-3.77000
rec123,2010-01-02T07,-3.77000
rec123,2010-01-02T08,-3.90000
rec123,2010-01-02T09,-4.09000
rec123,2010-01-02T10,-4.07000
rec123,2010-01-02T11,-3.83000
rec123,2010-01-02T12,-3.94000
rec123,2010-01-02T13,-4.28000
rec123,2010-01-02T14,-4.45000
rec123,2010-01-02T15,-4.40000
rec123,2010-01-02T16,-4.61000
rec123,2010-01-02T17,-6.33000
rec123,2010-01-02T18,-6.35000
rec123,2010-01-02T19,-6.22000
rec123,2010-01-02T20,-6.05000
rec123,2010-01-02T21,-4.86000
rec123,2010-01-02T22,-4.22000
rec123,2010-01-02T23,-3.46000
rec123,2010-01-03T00,-3.03000
rec123,2010-01-03T01,-2.91000
rec123,2010-01-03T02,-2.76000
rec123,2010-01-03T03,-2.66000
rec123,2010-01-03T04,-2.68000
rec123,2010-01-03T05,-2.78000
rec123,2010-01-03T06,-2.78000
rec123,2010-01-03T07,-2.56000
rec123,2010-01-03T08,-2.18000
rec123,2010-01-03T09,-2.14000
rec123,2010-01-03T10,-2.04000
rec123,2010-01-03T11,-1.71000
rec123,2010-01-03T12,-0.48000
rec123,2010-01-03T13,-0.64000
rec123,2010-01-03T14,-1.35000
rec123,2010-01-03T15,-1.63000
rec123,2010-01-03T16,-1.72000
rec123,2010-01-03T17,-2.83000
rec123,2010-01-03T18,-4.21000
rec123,2010-01-03T19,-4.89000
rec123,2010-01-03T20,-5.11000
rec123,2010-01-03T21,-5.17000
rec123,2010-01-03T22,-5.18000
rec123,2010-01-03T23,-5.20000
rec123,2010-01-04T00,-5.29000
rec123,2010-01-04T01,-5.46000
rec123,2010-01-04T02,-5.51000
rec123,2010-01-04T03,-5.54000
rec123,2010-01-04T04,-5.61000
rec123,2010-01-04T05,-5.66000
rec123,2010-01-04T06,-5.67000
rec123,2010-01-04T07,-5.71000
rec123,2010-01-04T08,-5.79000
rec123,2010-01-04T09,-5.83000
rec123,2010-01-04T10,-5.72000
rec123,2010-01-04T11,-4.99000
rec123,2010-01-04T12,-4.16000
rec123,2010-01-04T13,-4.63000
rec123,2010-01-04T14,-4.86000
rec123,2010-01-04T15,-5.20000
rec123,2010-01-04T16,-5.32000
rec123,2010-01-04T17,-5.57000
rec123,2010-01-04T18,-6.15000
rec123,2010-01-04T19,-8.27000
rec123,2010-01-04T20,-9.21000
rec123,2010-01-04T21,-10.70000
rec123,2010-01-04T22,-11.74000
rec123,2010-01-04T23,-10.46000
rec123,2010-01-05T00,-10.48000
rec123,2010-01-05T01,-12.17000
rec123,2010-01-05T02,-9.59000
rec123,2010-01-05T03,-9.54000
rec123,2010-01-05T04,-9.04000
rec123,2010-01-05T05,-9.50000
rec123,2010-01-05T06,-10.12000
