plot,logger,serial,start,end
AEW34_1_N,00FEMU,tt_5F200099,2020-12-01,2025-12-31
AEW34_2_M,00FEMU,tt_5F200100,2020-12-01,2025-12-31
AEW34_2_S,00FEMU,tt_5F200101,2020-12-01,2025-12-31
AEW34_3_M,00FEMU,tt_5F200102,2020-12-01,2025-12-31
AEW39_CLOUD,00FEMU_CLOUD,tt_C0200195,*,*
AEW39_C0200195,00FEMU,tt_5F200103,*,*
AEW39_C0200195,00FEMU,tt_5F200104,*,*
AEW39_C0200195,00FEMU,tt_5F200105,*,*
AEW39_C0200195,00FEMU,tt_5F200106,*,*
AEW39_C0200195,00FEMU,tt_5F200114,*,*
AEW39_1_M,00FEMU,tt_5F200103,2020-12-01,2025-12-31
AEW39_1_S,00FEMU,tt_5F200104,2020-12-01,2025-12-31
AEW39_2_M,00FEMU,tt_5F200105,2020-12-01,2025-12-31
AEW39_2_N,00FEMU,tt_5F200106,2020-12-01,2025-12-31
AEW39_3_M,00FEMU,tt_5F200114,2020-12-01,2025-12-31
AEW42_CLOUD,00FEMU_CLOUD,tt_C0200196,*,*
AEW42_C0200196,00FEMU,tt_5F200115,*,*
AEW42_C0200196,00FEMU,tt_5F200116,*,*
AEW42_C0200196,00FEMU,tt_5F200118,*,*
AEW42_C0200196,00FEMU,tt_5F200139,*,*
AEW42_C0200196,00FEMU,tt_5F200140,*,*
AEW42_1_M,00FEMU,tt_5F200115,2020-12-01,2025-12-31
AEW42_1_S,00FEMU,tt_5F200116,2020-12-01,2025-12-31
AEW42_2_M,00FEMU,tt_5F200118,2020-12-01,2025-12-31
AEW42_2_N,00FEMU,tt_5F200139,2020-12-01,2025-12-31
AEW42_3_M,00FEMU,tt_5F200140,2020-12-01,2025-12-31
AEW47_CLOUD,00FEMU_CLOUD,tt_C0200197,*,*
AEW47_C0200197,00FEMU,tt_5F200141,*,*
AEW47_C0200197,00FEMU,tt_5F200142,*,*
AEW47_C0200197,00FEMU,tt_5F200145,*,*
AEW47_C0200197,00FEMU,tt_5F200146,*,*
AEW47_C0200197,00FEMU,tt_5F200149,*,*
AEW47_1_M,00FEMU,tt_5F200141,2020-12-01,2025-12-31
AEW47_1_N,00FEMU,tt_5F200142,2020-12-01,2025-12-31
AEW47_2_M,00FEMU,tt_5F200145,2020-12-01,2025-12-31
AEW47_2_S,00FEMU,tt_5F200146,2020-12-01,2025-12-31
AEW47_3_M,00FEMU,tt_5F200149,2020-12-01,2025-12-31
HEW05_CLOUD,00FEMU_CLOUD,tt_C0200181,*,*
HEW05_C0200181,00FEMU,tt_5F200057,*,*
HEW05_C0200181,00FEMU,tt_5F200051,*,*
HEW05_C0200181,00FEMU,tt_5F200052,*,*
HEW05_C0200181,00FEMU,tt_5F200068,*,*
HEW05_C0200181,00FEMU,tt_5F200069,*,*
HEW05_1_M,00FEMU,tt_5F200051,2020-12-01,2025-12-31
HEW05_1_N,00FEMU,tt_5F200052,2020-12-01,2025-12-31
HEW05_2_M,00FEMU,tt_5F200068,2020-12-01,2025-12-31
HEW05_2_S,00FEMU,tt_5F200069,2020-12-01,2025-12-31
HEW05_3_M,00FEMU,tt_5F200057,2020-12-01,2025-12-31
HEW06_CLOUD,00FEMU_CLOUD,tt_C0200182,*,2021-03-22T08:30
HEW06_C0200182,00FEMU,tt_5F200070,*,*
HEW06_C0200182,00FEMU,tt_5F200071,*,*
HEW06_C0200182,00FEMU,tt_5F200072,*,*
HEW06_C0200182,00FEMU,tt_5F200074,*,*
HEW06_C0200182,00FEMU,tt_5F200075,*,*
HEW06_1_M,00FEMU,tt_5F200070,2020-12-01,2025-12-31
HEW06_1_S,00FEMU,tt_5F200071,2020-12-01,2025-12-31
HEW06_2_M,00FEMU,tt_5F200072,2020-12-01,2025-12-31
HEW06_2_N,00FEMU,tt_5F200074,2020-12-01,2025-12-31
HEW06_3_M,00FEMU,tt_5F200075,2020-12-01,2025-12-31
HEW19_CLOUD,00FEMU_CLOUD,tt_C0200183,*,*
HEW19_C0200183,00FEMU,tt_5F200080,*,*
HEW19_C0200183,00FEMU,tt_5F200082,*,*
HEW19_C0200183,00FEMU,tt_5F200084,*,*
HEW19_C0200183,00FEMU,tt_5F200087,*,*
HEW19_C0200183,00FEMU,tt_5F200089,*,*
HEW19_1_M,00FEMU,tt_5F200080,2020-12-01,2025-12-31
HEW19_1_N,00FEMU,tt_5F200082,2020-12-01,2025-12-31
HEW19_2_M,00FEMU,tt_5F200084,2020-12-01,2025-12-31
HEW19_2_S,00FEMU,tt_5F200087,2020-12-01,2025-12-31
HEW19_3_M,00FEMU,tt_5F200089,2020-12-01,2025-12-31
HEW21_CLOUD,00FEMU_CLOUD,tt_C0200184,*,*
HEW21_C0200184,00FEMU,tt_5F200095,*,*
HEW21_C0200184,00FEMU,tt_5F200107,*,*
HEW21_C0200184,00FEMU,tt_5F200108,*,*
HEW21_C0200184,00FEMU,tt_5F200109,*,*
HEW21_C0200184,00FEMU,tt_5F200110,*,*
HEW21_1_M,00FEMU,tt_5F200095,2020-12-01,2025-12-31
HEW21_1_S,00FEMU,tt_5F200107,2020-12-01,2025-12-31
HEW21_2_M,00FEMU,tt_5F200108,2020-12-01,2025-12-31
HEW21_2_N,00FEMU,tt_5F200109,2020-12-01,2025-12-31
HEW21_3_M,00FEMU,tt_5F200110,2020-12-01,2025-12-31
HEW29_CLOUD,00FEMU_CLOUD,tt_C0200185,*,2021-08-09T12:30
HEW29_CLOUD,00FEMU_CLOUD,tt_C0200182,2021-08-09T13:00,*
HEW29_C0200185,00FEMU,tt_5F200111,*,*
HEW29_C0200185,00FEMU,tt_5F200112,*,*
HEW29_C0200185,00FEMU,tt_5F200113,*,*
HEW29_C0200185,00FEMU,tt_5F200120,*,*
HEW29_C0200185,00FEMU,tt_5F200121,*,*
HEW29_1_M,00FEMU,tt_5F200111,2020-12-01,2025-12-31
HEW29_1_S,00FEMU,tt_5F200112,2020-12-01,2025-12-31
HEW29_2_M,00FEMU,tt_5F200113,2020-12-01,2025-12-31
HEW29_2_N,00FEMU,tt_5F200120,2020-12-01,2025-12-31
HEW29_3_M,00FEMU,tt_5F200121,2020-12-01,2025-12-31
HEW30_CLOUD,00FEMU_CLOUD,tt_C0200186,*,*
HEW30_C0200186,00FEMU,tt_5F200122,*,*
HEW30_C0200186,00FEMU,tt_5F200123,*,*
HEW30_C0200186,00FEMU,tt_5F200124,*,*
HEW30_C0200186,00FEMU,tt_5F200125,*,*
HEW30_C0200186,00FEMU,tt_5F200126,*,*
HEW30_C0200186,00FEMU,tt_5F200129,*,*
HEW30_1_M,00FEMU,tt_5F200122,2020-12-01,2025-12-31
HEW30_1_N,00FEMU,tt_5F200123,2020-12-01,2025-12-31
HEW30_2_M,00FEMU,tt_5F200124,2020-12-01,2025-12-31
HEW30_2_S,00FEMU,tt_5F200125,2020-12-01,2025-12-31
HEW30_3_M,00FEMU,tt_5F200126,2020-12-01,2025-12-31
HEW32_CLOUD,00FEMU_CLOUD,tt_C0200187,*,*
HEW32_C0200187,00FEMU,tt_5F200127,*,*
HEW32_C0200187,00FEMU,tt_5F200128,*,*
HEW32_C0200187,00FEMU,tt_5F200129,*,*
HEW32_C0200187,00FEMU,tt_5F200130,*,*
HEW32_C0200187,00FEMU,tt_5F200131,*,*
HEW32_1_M,00FEMU,tt_5F200127,2020-12-01,2025-12-31
HEW32_1_S,00FEMU,tt_5F200128,2020-12-01,2025-12-31
HEW32_2_M,00FEMU,tt_5F200129,2020-12-01,2025-12-31
HEW32_2_N,00FEMU,tt_5F200130,2020-12-01,2025-12-31
HEW32_3_M,00FEMU,tt_5F200131,2020-12-01,2025-12-31
HEW47_CLOUD,00FEMU_CLOUD,tt_C0200188,*,*
HEW47_C0200188,00FEMU,tt_5F200132,*,*
HEW47_C0200188,00FEMU,tt_5F200133,*,*
HEW47_C0200188,00FEMU,tt_5F200134,*,*
HEW47_C0200188,00FEMU,tt_5F200135,*,*
HEW47_C0200188,00FEMU,tt_5F200136,*,*
HEW47_1_M,00FEMU,tt_5F200132,2020-12-01,2025-12-31
HEW47_1_N,00FEMU,tt_5F200133,2020-12-01,2025-12-31
HEW47_2_M,00FEMU,tt_5F200134,2020-12-01,2025-12-31
HEW47_2_S,00FEMU,tt_5F200135,2020-12-01,2025-12-31
HEW47_3_M,00FEMU,tt_5F200136,2020-12-01,2025-12-31
HEW48_CLOUD,00FEMU_CLOUD,tt_C0200189,*,*
HEW48_C0200189,00FEMU,tt_5F200137,*,*
HEW48_C0200189,00FEMU,tt_5F200138,*,*
HEW48_C0200189,00FEMU,tt_5F200143,*,*
HEW48_C0200189,00FEMU,tt_5F200144,*,*
HEW48_C0200189,00FEMU,tt_5F200147,*,*
HEW48_C0200189,00FEMU,tt_5F200148,*,*
HEW48_1_M,00FEMU,tt_5F200137,2020-12-01,2025-12-31
HEW48_1_S,00FEMU,tt_5F200138,2020-12-01,2025-12-31
HEW48_2_M,00FEMU,tt_5F200143,2020-12-01,2025-12-31
HEW48_2_N,00FEMU,tt_5F200144,2020-12-01,2025-12-31
HEW48_3_M,00FEMU,tt_5F200147,2020-12-01,2025-12-31
HEW48_4_M,00FEMU,tt_5F200148,2020-12-01,2025-12-31
SEW03_CLOUD,00FEMU_CLOUD,tt_C0200130,*,*
