plot,general,lat,lon,focal,is_station,logger,alternative_id,elevation,comment
CaldernWald,ca_stations,50.8411,8.68477,Y,Y,ca_logger,,,
CaldernWiese,ca_stations,50.8405,8.6832,Y,Y,ca_logger,,,
demo_moon,influx_stations,,,Y,Y,ca_logger,,,
lab_cst_00000_moon,influx_stations,,,Y,Y,ca_logger,,,
lab_moon,influx_stations,,,Y,Y,ca_logger,,,
lahnberge_moon,influx_stations,,,Y,Y,ca_logger,,,
ltf_cst_00001_moon,influx_stations,,,Y,Y,ca_logger,,,
mof_cst_00050_moon,influx_stations,,,Y,Y,ca_logger,,,
mof_cst_00075_moon,influx_stations,,,Y,Y,ca_logger,,,
mrc_cst_00001_moon,influx_stations,,,Y,Y,ca_logger,,,
office_planet,influx_stations,,,Y,Y,ca_logger,,,
office2_planet,influx_stations,,,Y,Y,ca_logger,,,
mof_cst_00001_planet,manual_stations,,,Y,Y,ca_logger,,,
tt_52030165,treetalker_nature40,,,,Y,treetalker_logger,,,
MR_0142,fox,,,,,00FEMU,,,
JIG_CLOUD,fox,,,,,00FEMU_CLOUD,,,
JIG_0001,fox,,,,,00FEMU,,,
JIG_0002,fox,,,,,00FEMU,,,
JIG_0003,fox,,,,,00FEMU,,,
JIG_0004,fox,,,,,00FEMU,,,
JIG_0005,fox,,,,,00FEMU,,,
JIG_0006,fox,,,,,00FEMU,,,
JIG_0007,fox,,,,,00FEMU,,,
JIG_0008,fox,,,,,00FEMU,,,
JIG_0009,fox,,,,,00FEMU,,,
JIG_0010,fox,,,,,00FEMU,,,
JIG_0011,fox,,,,,00FEMU,,,
JIG_0012,fox,,,,,00FEMU,,,
JIG_0013,fox,,,,,00FEMU,,,
JIG_0014,fox,,,,,00FEMU,,,
JIG_0015,fox,,,,,00FEMU,,,
JIG_0016,fox,,,,,00FEMU,,,
JIG_0017,fox,,,,,00FEMU,,,
JIG_0018,fox,,,,,00FEMU,,,
JIG_0019,fox,,,,,00FEMU,,,
JIG_0020,fox,,,,,00FEMU,,,
JIG_0021,fox,,,,,00FEMU,,,
JIG_0022,fox,,,,,00FEMU,,,
JIG_0023,fox,,,,,00FEMU,,,
JIG_0024,fox,,,,,00FEMU,,,
JIG_0025,fox,,,,,00FEMU,,,
JIG_0026,fox,,,,,00FEMU,,,
JIG_0027,fox,,,,,00FEMU,,,
JIG_0028,fox,,,,,00FEMU,,,
JIG_0029,fox,,,,,00FEMU,,,
JIG_0030,fox,,,,,00FEMU,,,
JIG_0031,fox,,,,,00FEMU,,,
JIG_0032,fox,,,,,00FEMU,,,
GEW_CLOUD,hawk,,,,,00FEMU_CLOUD,,,
GEW_C0200185,hawk,,,,,00FEMU,,,
GEW01,hawk,,,,,00FEMU,,,
GEW02,hawk,,,,,00FEMU,,,
GEW03,hawk,,,,,00FEMU,,,
AEW03_CLOUD,AEF,,,,,00FEMU_CLOUD,,,
AEW03_C0200190,AEF,,,,,00FEMU,,,
AEW03_1_M,AEF,,,,,00FEMU,,,
AEW03_1_S,AEF,,,,,00FEMU,,,
AEW03_2_M,AEF,,,,,00FEMU,,,
AEW03_2_N,AEF,,,,,00FEMU,,,
AEW03_3_M,AEF,,,,,00FEMU,,,
AEW22_CLOUD,AEF,,,,,00FEMU_CLOUD,,,
AEW22_C0200191,AEF,,,,,00FEMU,,,
AEW22_1_M,AEF,,,,,00FEMU,,,
AEW22_1_N,AEF,,,,,00FEMU,,,
AEW22_2_M,AEF,,,,,00FEMU,,,
AEW22_2_S,AEF,,,,,00FEMU,,,
AEW22_3_M,AEF,,,,,00FEMU,,,
AEW28_CLOUD,AEF,,,,,00FEMU_CLOUD,,,
AEW28_C0200192,AEF,,,,,00FEMU,,,
AEW28_1_M,AEF,,,,,00FEMU,,,
AEW28_1_N,AEF,,,,,00FEMU,,,
AEW28_2_M,AEF,,,,,00FEMU,,,
AEW28_2_S,AEF,,,,,00FEMU,,,
AEW28_3_M,AEF,,,,,00FEMU,,,
AEW33_CLOUD,AEF,,,,,00FEMU_CLOUD,,,
AEW33_C0200193,AEF,,,,,00FEMU,,,
AEW33_4_M,AEF,,,,,00FEMU,,,
AEW33_1_M,AEF,,,,,00FEMU,,,
AEW33_1_S,AEF,,,,,00FEMU,,,
AEW33_2_M,AEF,,,,,00FEMU,,,
AEW33_2_N,AEF,,,,,00FEMU,,,
AEW33_3_M,AEF,,,,,00FEMU,,,
AEW34_CLOUD,AEF,,,,,00FEMU_CLOUD,,,
AEW34_C0200194,AEF,,,,,00FEMU,,,
AEW34_1_M,AEF,,,,,00FEMU,,,
AEW34_1_N,AEF,,,,,00FEMU,,,
AEW34_2_M,AEF,,,,,00FEMU,,,
AEW34_2_S,AEF,,,,,00FEMU,,,
AEW34_3_M,AEF,,,,,00FEMU,,,
AEW39_CLOUD,AEF,,,,,00FEMU_CLOUD,,,
AEW39_C0200195,AEF,,,,,00FEMU,,,
AEW39_1_M,AEF,,,,,00FEMU,,,
AEW39_1_S,AEF,,,,,00FEMU,,,
AEW39_2_M,AEF,,,,,00FEMU,,,
AEW39_2_N,AEF,,,,,00FEMU,,,
AEW39_3_M,AEF,,,,,00FEMU,,,
AEW42_CLOUD,AEF,,,,,00FEMU_CLOUD,,,
AEW42_C0200196,AEF,,,,,00FEMU,,,
AEW42_1_M,AEF,,,,,00FEMU,,,
AEW42_1_S,AEF,,,,,00FEMU,,,
AEW42_2_M,AEF,,,,,00FEMU,,,
AEW42_2_N,AEF,,,,,00FEMU,,,
AEW42_3_M,AEF,,,,,00FEMU,,,
AEW47_CLOUD,AEF,,,,,00FEMU_CLOUD,,,
AEW47_C0200197,AEF,,,,,00FEMU,,,
AEW47_1_M,AEF,,,,,00FEMU,,,
AEW47_1_N,AEF,,,,,00FEMU,,,
AEW47_2_M,AEF,,,,,00FEMU,,,
AEW47_2_S,AEF,,,,,00FEMU,,,
AEW47_3_M,AEF,,,,,00FEMU,,,
HEW05_CLOUD,HEF,,,,,00FEMU_CLOUD,,,
HEW05_C0200181,HEF,,,,,00FEMU,,,
HEW05_3_M,HEF,,,,,00FEMU,,,
HEW05_1_M,HEF,,,,,00FEMU,,,
HEW05_1_N,HEF,,,,,00FEMU,,,
HEW05_2_M,HEF,,,,,00FEMU,,,
HEW05_2_S,HEF,,,,,00FEMU,,,
HEW06_CLOUD,HEF,,,,,00FEMU_CLOUD,,,
HEW06_C0200182,HEF,,,,,00FEMU,,,
HEW06_1_M,HEF,,,,,00FEMU,,,
HEW06_1_S,HEF,,,,,00FEMU,,,
HEW06_2_M,HEF,,,,,00FEMU,,,
HEW06_2_N,HEF,,,,,00FEMU,,,
HEW06_3_M,HEF,,,,,00FEMU,,,
HEW19_CLOUD,HEF,,,,,00FEMU_CLOUD,,,
HEW19_C0200183,HEF,,,,,00FEMU,,,
HEW19_1_N,HEF,,,,,00FEMU,,,
HEW19_2_M,HEF,,,,,00FEMU,,,
HEW19_1_M,HEF,,,,,00FEMU,,,
HEW19_2_S,HEF,,,,,00FEMU,,,
HEW19_3_M,HEF,,,,,00FEMU,,,
HEW21_CLOUD,HEF,,,,,00FEMU_CLOUD,,,
HEW21_C0200184,HEF,,,,,00FEMU,,,
HEW21_1_M,HEF,,,,,00FEMU,,,
HEW21_1_S,HEF,,,,,00FEMU,,,
HEW21_3_M,HEF,,,,,00FEMU,,,
HEW21_2_M,HEF,,,,,00FEMU,,,
HEW21_2_N,HEF,,,,,00FEMU,,,
HEW29_CLOUD,HEF,,,,,00FEMU_CLOUD,,,
HEW29_C0200185,HEF,,,,,00FEMU,,,
HEW29_1_M,HEF,,,,,00FEMU,,,
HEW29_1_S,HEF,,,,,00FEMU,,,
HEW29_2_M,HEF,,,,,00FEMU,,,
HEW29_2_N,HEF,,,,,00FEMU,,,
HEW29_3_M,HEF,,,,,00FEMU,,,
HEW30_CLOUD,HEF,,,,,00FEMU_CLOUD,,,
HEW30_C0200186,HEF,,,,,00FEMU,,,
HEW30_1_M,HEF,,,,,00FEMU,,,
HEW30_1_N,HEF,,,,,00FEMU,,,
HEW30_2_M,HEF,,,,,00FEMU,,,
HEW30_2_S,HEF,,,,,00FEMU,,,
HEW30_3_M,HEF,,,,,00FEMU,,,
HEW32_CLOUD,HEF,,,,,00FEMU_CLOUD,,,
HEW32_C0200187,HEF,,,,,00FEMU,,,
HEW32_2_M,HEF,,,,,00FEMU,,,
HEW32_1_M,HEF,,,,,00FEMU,,,
HEW32_1_S,HEF,,,,,00FEMU,,,
HEW32_2_N,HEF,,,,,00FEMU,,,
HEW32_3_M,HEF,,,,,00FEMU,,,
HEW47_CLOUD,HEF,,,,,00FEMU_CLOUD,,,
HEW47_C0200188,HEF,,,,,00FEMU,,,
HEW47_1_M,HEF,,,,,00FEMU,,,
HEW47_1_N,HEF,,,,,00FEMU,,,
HEW47_2_M,HEF,,,,,00FEMU,,,
HEW47_2_S,HEF,,,,,00FEMU,,,
HEW47_3_M,HEF,,,,,00FEMU,,,
HEW48_CLOUD,HEF,,,,,00FEMU_CLOUD,,,
HEW48_C0200189,HEF,,,,,00FEMU,,,
HEW48_1_M,HEF,,,,,00FEMU,,,
HEW48_1_S,HEF,,,,,00FEMU,,,
HEW48_2_M,HEF,,,,,00FEMU,,,
HEW48_2_N,HEF,,,,,00FEMU,,,
HEW48_3_M,HEF,,,,,00FEMU,,,
HEW48_4_M,HEF,,,,,00FEMU,,,
