plot,general,lat,lon,focal,is_station,logger,elevation,comment
HEW25f,HEWf,51.2845669846,10.2239693692,N,Y,filled,,""
HEW26f,HEWf,51.3443262423,10.5130315249,N,Y,filled,,""
HEW27f,HEWf,51.3561161433,10.521263964,N,Y,filled,,""
HEW28f,HEWf,51.358884052,10.526917886,N,Y,filled,,""
HEW29f,HEWf,51.1275428161,10.3796868348,N,Y,filled,,""
HEW30f,HEWf,51.134683874,10.3786368177,N,Y,filled,,""
HEW31f,HEWf,51.1422526286,10.3773142326,N,Y,filled,,""
HEW32f,HEWf,51.1395282849,10.3585903186,N,Y,filled,,""
HEW33f,HEWf,51.3415759448,10.5088148513,N,Y,filled,,""
HEW34f,HEWf,51.0847108328,10.4542735979,N,Y,filled,,""
HEW35f,HEWf,51.1046899612,10.4050739485,N,Y,filled,,""
HEW36f,HEWf,51.106275772,10.4093031658,N,Y,filled,,""
HEW37f,HEWf,51.0844264448,10.4586076362,N,Y,filled,,""
HEW38f,HEWf,51.0793590584,10.4601745431,N,Y,filled,,""
HEW39f,HEWf,51.0929539322,10.4658614642,N,Y,filled,,""
HEW40f,HEWf,51.0799442764,10.4982588767,N,Y,filled,,""
HEW41f,HEWf,51.1080561853,10.4549374111,N,Y,filled,,""
HEW42f,HEWf,51.1027539809,10.4598259195,N,Y,filled,,""
HEW43f,HEWf,51.3320987308,10.3580238771,N,Y,filled,,""
HEW44f,HEWf,51.3336765716,10.3680124678,N,Y,filled,,""
HEW45f,HEWf,51.3639605292,10.2611071882,N,Y,filled,,""
HEW46f,HEWf,51.0480963843,10.475472469,N,Y,filled,,""
HEW47f,HEWf,51.1789347352,10.3783438672,N,Y,filled,,""
HEW48f,HEWf,51.1366895595,10.393698314,N,Y,filled,,""
HEW49f,HEWf,51.1436471085,10.3845393934,N,Y,filled,,""
HEW50f,HEWf,51.0928168175,10.4554452066,N,Y,filled,,""
HEW51f,HEWf,51.1936589392,10.3536382393,Y,Y,filled,,""
SEG01f,SEGf,53.0874201199,13.969643613,Y,Y,filled,,""
SEG02f,SEGf,53.0893068994,13.9800470219,Y,Y,filled,,""
SEG03f,SEGf,53.1028343078,13.9856996404,Y,Y,filled,,""
SEG04f,SEGf,53.1137541932,14.0018710945,Y,Y,filled,,""
SEG05f,SEGf,53.1074526576,14.0005236583,Y,Y,filled,,""
SEG06f,SEGf,53.1034952652,13.6228333298,Y,Y,filled,,""
SEG07f,SEGf,53.0883827434,13.9770687275,Y,Y,filled,,""
SEG08f,SEGf,53.1139706829,14.0170996354,Y,Y,filled,,""
SEG09f,SEGf,53.0981819341,13.6125669145,Y,Y,filled,,""
SEG10f,SEGf,53.1066189775,13.9975565113,N,Y,filled,,""
SEG11f,SEGf,53.1055917908,13.9929664034,N,Y,filled,,""
SEG12f,SEGf,53.0873902852,13.9651666142,N,Y,filled,,""
SEG13f,SEGf,52.9729737541,13.8190368943,N,Y,filled,,""
SEG14f,SEGf,53.0866128921,13.9802599328,N,Y,filled,,""
SEG15f,SEGf,53.1094117133,14.0091395643,N,Y,filled,,""
SEG16f,SEGf,53.1155376108,13.9991563761,N,Y,filled,,""
SEG17f,SEGf,53.098328709,13.6259992127,N,Y,filled,,""
SEG18f,SEGf,53.1373051619,13.8756098085,N,Y,filled,,""
SEG19f,SEGf,53.12451684,14.0090911662,N,Y,filled,,""
SEG20f,SEGf,53.1035166861,13.6153816683,N,Y,filled,,""
SEG21f,SEGf,53.1062437745,13.6111129329,N,Y,filled,,""
SEG22f,SEGf,53.1008363304,13.9738023393,N,Y,filled,,""
SEG23f,SEGf,53.1076629229,14.0259043152,N,Y,filled,,""
SEG24f,SEGf,53.0930375778,13.9960806945,N,Y,filled,,""
SEG25f,SEGf,53.1106282851,13.6179908205,N,Y,filled,,""
SEG26f,SEGf,53.1058313536,14.0184348694,N,Y,filled,,""
SEG27f,SEGf,53.1227841103,13.7073809813,N,Y,filled,,""
SEG28f,SEGf,53.0931214508,14.0060802647,N,Y,filled,,""
SEG29f,SEGf,53.090363765,13.9986953531,N,Y,filled,,""
SEG30f,SEGf,53.1481412744,13.8306804543,N,Y,filled,,""
SEG31f,SEGf,53.1490864835,13.8354379183,N,Y,filled,,""
SEG32f,SEGf,53.1519292507,13.832087364,N,Y,filled,,""
SEG33f,SEGf,52.9857854702,13.8425129961,N,Y,filled,,""
SEG34f,SEGf,52.9831350747,13.8471996774,N,Y,filled,,""
SEG35f,SEGf,52.980270272,13.8483181227,N,Y,filled,,""
SEG36f,SEGf,52.9869062127,13.8376434069,N,Y,filled,,""
SEG37f,SEGf,53.1349278101,13.8760304642,N,Y,filled,,""
SEG38f,SEGf,53.1157329748,13.6757639408,N,Y,filled,,""
SEG39f,SEGf,52.9809239074,13.8232869643,N,Y,filled,,""
SEG40f,SEGf,53.1157000428,13.8406712422,N,Y,filled,,""
SEG41f,SEGf,53.1221932473,13.8523423904,N,Y,filled,,""
SEG42f,SEGf,52.8706731952,13.9688288888,N,Y,filled,,""
SEG43f,SEGf,52.876577569,13.9678274355,N,Y,filled,,""
SEG44f,SEGf,52.8800593338,13.9651898491,N,Y,filled,,""
SEG45f,SEGf,52.8814555267,13.9593929333,N,Y,filled,,""
SEG46f,SEGf,52.9784378063,13.8263321419,N,Y,filled,,""
SEG47f,SEGf,52.9872657751,13.827582102,N,Y,filled,,""
SEG48f,SEGf,53.09720511,13.6066414018,N,Y,filled,,""
SEG49f,SEGf,52.9747334907,13.8565786823,N,Y,filled,,""
SEG50f,SEGf,53.1217783222,13.7503876671,N,Y,filled,,""
SET39f,SEWf,52.92506,13.86874,Y,Y,filled,66,""
SEW01f,SEWf,52.9008472902,13.8463669499,Y,Y,filled,,""
SEW02f,SEWf,52.951728864,13.778028117,Y,Y,filled,,""
SEW03f,SEWf,52.9207074362,13.6430016042,Y,Y,filled,,""
SEW04f,SEWf,52.9173466307,13.8473113725,Y,Y,filled,,""
SEW05f,SEWf,53.0570335601,13.8853662276,Y,Y,filled,,""
SEW06f,SEWf,52.907442793,13.8416880472,Y,Y,filled,,""
SEW07f,SEWf,53.1073480195,13.6944189332,Y,Y,filled,,""
SEW08f,SEWf,53.1917971616,13.9303378591,Y,Y,filled,,""
SEW09f,SEWf,53.044586875,13.8101029479,Y,Y,filled,,""
SEW10f,SEWf,53.0910959427,13.637843132,N,Y,filled,,""
SEW11f,SEWf,53.0902936541,13.6337037671,N,Y,filled,,""
SEW12f,SEWf,53.0883300835,13.6982632545,N,Y,filled,,""
SEW13f,SEWf,53.0163657036,13.8639279627,N,Y,filled,,""
SEW14f,SEWf,52.9179136611,13.7521735271,N,Y,filled,,""
SEW15f,SEWf,52.914542078,13.7375525556,N,Y,filled,,""
SEW16f,SEWf,53.0765831695,13.8639856255,N,Y,filled,,""
SEW17f,SEWf,52.9423507679,13.8274870493,N,Y,filled,,""
SEW18f,SEWf,52.8624230856,13.9172479943,N,Y,filled,,""
SEW19f,SEWf,53.0939848778,13.6350797244,N,Y,filled,,""
SEW20f,SEWf,53.0886055083,13.6353842203,N,Y,filled,,""
SEW21f,SEWf,52.9155883093,13.740450917,N,Y,filled,,""
SEW22f,SEWf,53.0601385484,13.9140747207,N,Y,filled,,""
SEW23f,SEWf,52.9489729846,13.7791918682,N,Y,filled,,""
SEW24f,SEWf,52.8897190116,13.9671737446,N,Y,filled,,""
SEW25f,SEWf,52.9209815366,13.7610957942,N,Y,filled,,""
SEW26f,SEWf,52.9174012798,13.7461817871,N,Y,filled,,""
SEW27f,SEWf,52.8899546096,14.0010438422,N,Y,filled,,""
SEW28f,SEWf,52.883956729,13.6640414169,N,Y,filled,,""
SEW29f,SEWf,53.0172391815,13.8622360487,N,Y,filled,,""
SEW30f,SEWf,53.06213691,13.9223631143,N,Y,filled,,""
SEW31f,SEWf,52.8810775398,13.9033696983,N,Y,filled,,""
SEW32f,SEWf,53.0627722974,13.9270461979,N,Y,filled,,""
SEW33f,SEWf,52.9150420243,13.8874377589,N,Y,filled,,""
SEW34f,SEWf,52.8958258919,13.8521470181,N,Y,filled,,""
SEW35f,SEWf,52.9112679466,13.8534187775,N,Y,filled,,""
SEW36f,SEWf,52.9513641654,13.7541425496,N,Y,filled,,""
SEW37f,SEWf,52.9400215749,13.7826121483,N,Y,filled,,""
SEW38f,SEWf,52.8884802265,13.6707369457,N,Y,filled,,""
SEW39f,SEWf,52.9247557336,13.8664454739,N,Y,filled,,""
SEW40f,SEWf,52.9147687623,13.8623651461,N,Y,filled,,""
SEW41f,SEWf,52.9122938399,13.9099253483,N,Y,filled,,""
SEW42f,SEWf,52.9027475084,13.9145343372,N,Y,filled,,""
SEW43f,SEWf,52.9009765233,13.9283255647,N,Y,filled,,""
SEW44f,SEWf,52.9184590159,13.859220603,N,Y,filled,,""
SEW45f,SEWf,53.0454545169,13.8378888408,N,Y,filled,,""
SEW46f,SEWf,53.0721224497,13.7774439698,N,Y,filled,,""
SEW47f,SEWf,53.0712780629,13.7713654294,N,Y,filled,,""
SEW48f,SEWf,53.0512659201,13.8449953984,N,Y,filled,,""
SEW49f,SEWf,52.885260427,13.8912306282,N,Y,filled,,""
SEW50f,SEWf,53.039528434,13.7870431421,N,Y,filled,,""
