plot,general,lat,lon,focal,is_station,logger,elevation,comment
AEG01f,AEGf,48.3980050128,9.3419867529,Y,Y,filled,,""
AEG02f,AEGf,48.3768572731,9.4727841247,Y,Y,filled,,""
AEG03f,AEGf,48.4088814832,9.5323787503,Y,Y,filled,,""
AEG04f,AEGf,48.3808884549,9.4188891246,Y,Y,filled,,""
AEG05f,AEGf,48.3958758627,9.4392007081,Y,Y,filled,,""
AEG06f,AEGf,48.401262153,9.4416781078,Y,Y,filled,,""
AEG07f,AEGf,48.3914209811,9.3768471301,Y,Y,filled,,""
AEG08f,AEGf,48.4226402847,9.4921245872,Y,Y,filled,,""
AEG09f,AEGf,48.3946709269,9.5027923796,Y,Y,filled,,""
AEG10f,AEGf,48.3787128703,9.2126008478,N,Y,filled,,""
AEG11f,AEGf,48.4853987987,9.3477155235,N,Y,filled,,""
AEG12f,AEGf,48.3891220871,9.3502309279,N,Y,filled,,""
AEG13f,AEGf,48.3916479693,9.3621982699,N,Y,filled,,""
AEG14f,AEGf,48.3757600015,9.5186692771,N,Y,filled,,""
AEG15f,AEGf,48.487881799,9.4486539191,N,Y,filled,,""
AEG16f,AEGf,48.40210764,9.4554611349,N,Y,filled,,""
AEG17f,AEGf,48.3993230386,9.5183688727,N,Y,filled,,""
AEG18f,AEGf,48.3829418675,9.5214424368,N,Y,filled,,""
AEG19f,AEGf,48.39764314,9.4473185834,N,Y,filled,,""
AEG20f,AEGf,48.4895088831,9.3564020806,N,Y,filled,,""
AEG21f,AEGf,48.4422038842,9.3572193006,N,Y,filled,,""
AEG22f,AEGf,48.4043813138,9.5134230403,N,Y,filled,,""
AEG23f,AEGf,48.4189546956,9.512354055,N,Y,filled,,""
AEG24f,AEGf,48.3964648774,9.4934922481,N,Y,filled,,""
AEG25f,AEGf,48.3954780011,9.2595965836,N,Y,filled,,""
AEG26f,AEGf,48.3951061598,9.4038818301,N,Y,filled,,""
AEG27f,AEGf,48.4191396371,9.4799316588,N,Y,filled,,""
AEG28f,AEGf,48.4620734674,9.492303341,N,Y,filled,,""
AEG29f,AEGf,48.4168404068,9.358324659,N,Y,filled,,""
AEG30f,AEGf,48.4562378064,9.4572977908,N,Y,filled,,""
AEG31f,AEGf,48.4587449338,9.4600244612,N,Y,filled,,""
AEG32f,AEGf,48.4658332639,9.485781341,N,Y,filled,,""
AEG33f,AEGf,48.4514222421,9.4910511483,N,Y,filled,,""
AEG34f,AEGf,48.4558776829,9.5005580665,N,Y,filled,,""
AEG35f,AEGf,48.4808866615,9.2884387238,N,Y,filled,,""
AEG36f,AEGf,48.4781611668,9.2992438253,N,Y,filled,,""
AEG37f,AEGf,48.3961509361,9.4135454726,N,Y,filled,,""
AEG38f,AEGf,48.4395441364,9.4252511339,N,Y,filled,,""
AEG39f,AEGf,48.3942180774,9.4256829259,N,Y,filled,,""
AEG40f,AEGf,48.4097972087,9.5665626636,N,Y,filled,,""
AEG41f,AEGf,48.3699446079,9.3984861338,N,Y,filled,,""
AEG42f,AEGf,48.3979885716,9.3760179249,N,Y,filled,,""
AEG43f,AEGf,48.4134228471,9.5420173244,N,Y,filled,,""
AEG44f,AEGf,48.3779957932,9.4349969019,N,Y,filled,,""
AEG45f,AEGf,48.4013333334,9.4579527081,N,Y,filled,,""
AEG46f,AEGf,48.3969714231,9.4348888005,N,Y,filled,,""
AEG47f,AEGf,48.4192307705,9.446157209,N,Y,filled,,""
AEG48f,AEGf,48.4218476697,9.4986696758,N,Y,filled,,""
AEG49f,AEGf,48.4567591994,9.5046227699,N,Y,filled,,""
AEG50f,AEGf,48.4056558727,9.4676487349,N,Y,filled,,""
AET06f,AEWf,48.394,9.445,Y,Y,filled,,estimated lat lon
AEW01f,AEWf,48.478073165,9.334410162,Y,Y,filled,,""
AEW02f,AEWf,48.3799904765,9.3514506421,Y,Y,filled,,""
AEW03f,AEWf,48.4122625017,9.355590784,Y,Y,filled,,""
AEW04f,AEWf,48.3990986481,9.2448273429,Y,Y,filled,,""
AEW05f,AEWf,48.4196184682,9.4146817957,Y,Y,filled,,""
AEW06f,AEWf,48.3940513182,9.4459367075,Y,Y,filled,,""
AEW07f,AEWf,48.3962384103,9.2613559815,Y,Y,filled,,""
AEW08f,AEWf,48.3825895508,9.3823844929,Y,Y,filled,,""
AEW09f,AEWf,48.3693457637,9.4152176233,Y,Y,filled,,""
AEW10f,AEWf,48.3777869241,9.3931477757,N,Y,filled,,""
AEW11f,AEWf,48.4915951512,9.3197522888,N,Y,filled,,""
AEW12f,AEWf,48.3694616359,9.2513658515,N,Y,filled,,""
AEW13f,AEWf,48.3789099752,9.3986777067,N,Y,filled,,""
AEW14f,AEWf,48.3755620401,9.337759582,N,Y,filled,,""
AEW15f,AEWf,48.3894672795,9.4065105777,N,Y,filled,,""
AEW16f,AEWf,48.3861424622,9.4446523886,N,Y,filled,,""
AEW17f,AEWf,48.3964586199,9.2429915954,N,Y,filled,,""
AEW18f,AEWf,48.36500227,9.2337993934,N,Y,filled,,""
AEW19f,AEWf,48.4842445665,9.3111837565,N,Y,filled,,""
AEW20f,AEWf,48.3701037561,9.3187195033,N,Y,filled,,""
AEW21f,AEWf,48.4843968668,9.3211949623,N,Y,filled,,""
AEW22f,AEWf,48.3823072372,9.4526381407,N,Y,filled,,""
AEW23f,AEWf,48.3858317363,9.4879752912,N,Y,filled,,""
AEW24f,AEWf,48.4789820525,9.2947850994,N,Y,filled,,""
AEW25f,AEWf,48.475891201,9.4209567168,N,Y,filled,,""
AEW26f,AEWf,48.417462913,9.4381710237,N,Y,filled,,""
AEW27f,AEWf,48.4002326117,9.4743515014,N,Y,filled,,""
AEW28f,AEWf,48.4923546666,9.3050099068,N,Y,filled,,""
AEW29f,AEWf,48.3836617112,9.3566062224,N,Y,filled,,""
AEW30f,AEWf,48.3727333655,9.3713773469,N,Y,filled,,""
AEW31f,AEWf,48.3811404452,9.2568234938,N,Y,filled,,""
AEW32f,AEWf,48.4105199182,9.3663848487,N,Y,filled,,""
AEW33f,AEWf,48.3911719491,9.490470405,N,Y,filled,,""
AEW34f,AEWf,48.3911487688,9.4958712598,N,Y,filled,,""
AEW35f,AEWf,48.4456961992,9.4151647193,N,Y,filled,,""
AEW36f,AEWf,48.3804016572,9.2230702498,N,Y,filled,,""
AEW37f,AEWf,48.392098933,9.4391681555,N,Y,filled,,""
AEW38f,AEWf,48.3829918802,9.4454349383,N,Y,filled,,""
AEW39f,AEWf,48.3757882361,9.2365486248,N,Y,filled,,""
AEW40f,AEWf,48.499602234,9.3494366049,N,Y,filled,,""
AEW41f,AEWf,48.3644121378,9.4041380519,N,Y,filled,,""
AEW42f,AEWf,48.3960932296,9.4527065741,N,Y,filled,,""
AEW43f,AEWf,48.3790957789,9.3783084379,N,Y,filled,,""
AEW44f,AEWf,48.3857074703,9.223093501,N,Y,filled,,""
AEW45f,AEWf,48.3892368857,9.5012535366,N,Y,filled,,""
AEW46f,AEWf,48.3862612052,9.3593246896,N,Y,filled,,""
AEW47f,AEWf,48.4167020413,9.4079033192,N,Y,filled,,""
AEW48f,AEWf,48.388458367,9.4727567005,N,Y,filled,,""
AEW49f,AEWf,48.4453687526,9.4763942883,N,Y,filled,,""
AEW50f,AEWf,48.3921171677,9.2544483408,N,Y,filled,,""
HEG01f,HEGf,50.9716483376,10.4053629104,Y,Y,filled,,""
HEG02f,HEGf,51.0007489248,10.4300100103,Y,Y,filled,,""
HEG03f,HEGf,50.9980914934,10.4329488763,Y,Y,filled,,""
HEG04f,HEGf,51.113362352,10.4361803786,Y,Y,filled,,""
HEG05f,HEGf,51.2158944134,10.322526719,Y,Y,filled,,""
HEG06f,HEGf,51.2149350553,10.3912208733,Y,Y,filled,,""
HEG07f,HEGf,51.2735825557,10.4104125695,Y,Y,filled,,""
HEG08f,HEGf,51.2712574671,10.4179445812,Y,Y,filled,,""
HEG09f,HEGf,51.2238973736,10.3807872979,Y,Y,filled,,""
HEG10f,HEGf,51.2751490188,10.4467607106,N,Y,filled,,""
HEG11f,HEGf,51.2806670523,10.4561779278,N,Y,filled,,""
HEG12f,HEGf,51.0772200104,10.5758197075,N,Y,filled,,""
HEG13f,HEGf,51.2596811245,10.3799460956,N,Y,filled,,""
HEG14f,HEGf,51.2940601984,10.4357998366,N,Y,filled,,""
HEG15f,HEGf,51.0680130317,10.4862323114,N,Y,filled,,""
HEG16f,HEGf,51.0334951155,10.4588433406,N,Y,filled,,""
HEG17f,HEGf,51.070504549,10.4704560664,N,Y,filled,,""
HEG18f,HEGf,51.2836635589,10.4246855814,N,Y,filled,,""
HEG19f,HEGf,51.0732375079,10.4732197941,N,Y,filled,,""
HEG20f,HEGf,51.2210645074,10.370980806,N,Y,filled,,""
HEG21f,HEGf,51.1907043424,10.7525686959,N,Y,filled,,""
HEG22f,HEGf,51.0307536694,10.3249271584,N,Y,filled,,""
HEG23f,HEGf,51.1343049651,10.3381864542,N,Y,filled,,""
HEG24f,HEGf,51.101066362,10.3512145548,N,Y,filled,,""
HEG25f,HEGf,51.0233900146,10.322341733,N,Y,filled,,""
HEG26f,HEGf,51.281500899,10.3717252509,N,Y,filled,,""
HEG27f,HEGf,51.0864472749,10.5969886442,N,Y,filled,,""
HEG28f,HEGf,51.265906526,10.4969215328,N,Y,filled,,""
HEG29f,HEGf,51.2641100338,10.4984272508,N,Y,filled,,""
HEG30f,HEGf,51.2018524729,10.3599108538,N,Y,filled,,""
HEG31f,HEGf,51.1703585041,10.2211956781,N,Y,filled,,""
HEG32f,HEGf,51.075510637,10.5676100811,N,Y,filled,,""
HEG33f,HEGf,51.1114363932,10.4259631657,N,Y,filled,,""
HEG34f,HEGf,51.2142917637,10.3869351606,N,Y,filled,,""
HEG35f,HEGf,51.219827364,10.4111191881,N,Y,filled,,""
HEG36f,HEGf,51.0314465615,10.510233429,N,Y,filled,,""
HEG37f,HEGf,51.032390748,10.5144943419,N,Y,filled,,""
HEG38f,HEGf,51.1162026908,10.3415352077,N,Y,filled,,""
HEG39f,HEGf,51.1202248042,10.3462476695,N,Y,filled,,""
HEG40f,HEGf,50.9668129807,10.4468140957,N,Y,filled,,""
HEG41f,HEGf,51.221025855,10.3669167564,N,Y,filled,,""
HEG42f,HEGf,51.0694413682,10.4647839624,N,Y,filled,,""
HEG43f,HEGf,51.3019709052,10.4358178074,N,Y,filled,,""
HEG44f,HEGf,51.0551983135,10.4796324688,N,Y,filled,,""
HEG45f,HEGf,51.0395333994,10.5085340367,N,Y,filled,,""
HEG46f,HEGf,51.2068950614,10.7535482021,N,Y,filled,,""
HEG47f,HEGf,51.2842003328,10.3719165024,N,Y,filled,,""
HEG48f,HEGf,51.286831328,10.3801379532,N,Y,filled,,""
HEG49f,HEGf,51.2789028874,10.3918830227,N,Y,filled,,""
HEG50f,HEGf,51.2765094035,10.4207739499,N,Y,filled,,""
HET38f,HEWf,51.079,10.46,Y,Y,filled,439,estimated lat lon
HET44f,HEWf,51.333,10.368,Y,Y,filled,451,estimated lat lon
HEW01f,HEWf,51.185355081,10.3236211079,Y,Y,filled,,""
HEW02f,HEWf,51.2100112945,10.369953938,Y,Y,filled,,""
HEW03f,HEWf,51.2716477029,10.3107384563,Y,Y,filled,,""
HEW04f,HEWf,51.369481558,10.5333275422,Y,Y,filled,,""
HEW05f,HEWf,51.2638781296,10.2409578716,Y,Y,filled,,""
HEW06f,HEWf,51.2677198313,10.2393782624,Y,Y,filled,,""
HEW07f,HEWf,51.131092424,10.3854488723,Y,Y,filled,,""
HEW08f,HEWf,51.3557921769,10.5169674116,Y,Y,filled,,""
HEW09f,HEWf,51.1302419298,10.3811496502,Y,Y,filled,,""
HEW10f,HEWf,51.0899873483,10.4624338733,Y,Y,filled,,""
HEW11f,HEWf,51.1028344425,10.400854322,Y,Y,filled,,""
HEW12f,HEWf,51.1006881001,10.4551829807,Y,Y,filled,,""
HEW13f,HEWf,51.2426439614,10.3129467075,N,Y,filled,,""
HEW14f,HEWf,51.366163944,10.2581516944,N,Y,filled,,""
HEW15f,HEWf,51.2050771735,10.390161909,N,Y,filled,,""
HEW16f,HEWf,51.1831603571,10.3654658654,N,Y,filled,,""
HEW17f,HEWf,51.282813576,10.2269038462,N,Y,filled,,""
HEW18f,HEWf,51.3369669282,10.3654559913,N,Y,filled,,""
HEW19f,HEWf,51.1992291968,10.3377262691,N,Y,filled,,""
HEW20f,HEWf,51.3339278121,10.3602545497,N,Y,filled,,""
HEW21f,HEWf,51.1942782958,10.3190053755,N,Y,filled,,""
HEW22f,HEWf,51.3371502544,10.3592785389,N,Y,filled,,""
HEW23f,HEWf,51.2782177401,10.2084480501,N,Y,filled,,""
HEW24f,HEWf,51.0465026853,10.4912116326,N,Y,filled,,""
